name,homepage_url,category_list,funding_total_usd,status,country_code,state_code,region,city,funding_rounds,success
ADVIZE,http://www.advize.fr,Brokers|Consulting|Finance|Finance Technology|FinTech|Insurance|Trading,736050,operating,FRA,A8,Paris,Boulogne-billancourt,1,0
Advizr,http://www.advizr.com,Apps|Financial Services|Software,1740000,operating,USA,NY,New York City,New York,1,0
Advocate,http://www.joinadvocate.com/,Politics|Polling|Professional Networking|Social Fundraising,120000,operating,USA,NY,New York City,New York,1,0
Advocate Health Care,http://www.advocatehealth.com,Health and Wellness,18000000,operating,USA,IL,Chicago,Oak Brook,1,1
AdVolume,http://advolume.com,Advertising|Games|Marketing Automation,1200000,operating,USA,OR,"Portland, Oregon",Portland,1,0
Adwanted,http://www.adwanted.com,Advertising|Media|News|Television,269133,operating,FRA,B4,Paris,Lille,2,0
AdWerx,http://www.adwerx.com,Real Estate,1200000,operating,USA,NC,Raleigh,Durham,1,0
AdWhirl,http://www.adwhirl.com,Mobile,1000000,acquired,USA,CA,SF Bay Area,Menlo Park,1,0
AdWill,http://adwill.co,Advertising Exchanges|Mobile|Mobile Advertising,150000,operating,USA,NY,New York City,New York,2,0
Adwings,http://adwings.com,Advertising,24997,closed,GBR,C3,London,Cambridge,1,0
Adwise,http://adwiser.net/,Consulting|Internet|Internet Marketing,2300000,operating,CAN,ON,Toronto,Toronto,1,0
AdXpose,http://www.adxpose.com,Advertising|Analytics|SaaS,22800000,acquired,USA,WA,Seattle,Seattle,3,1
AdYapper,http://www.adyapper.com,Advertising|Analytics|Finance|Sales and Marketing,6700000,operating,USA,IL,Chicago,Chicago,3,1
Adylitica,http://adylitica.com,Mobile,125001,operating,USA,NY,New York City,Brooklyn,1,0
Adynxx,http://www.adynxx.com,Biotechnology,7540560,operating,USA,CA,SF Bay Area,San Francisco,3,1
Adyoulike,http://www.adyoulike.com,Advertising|Advertising Exchanges|Advertising Networks|Advertising Platforms|Media|Video,1908820,operating,GBR,H9,London,London,2,0
AdYouNet,http://www.adyounet.com,Advertising,1400000,closed,USA,CA,SF Bay Area,Palo Alto,2,0
Adype,http://www.adype.com,Advertising|Marketplaces|Social Media,250000,operating,USA,NJ,Newark,Edgewater,1,0
Adzerk,http://www.adzerk.com,Advertising|Advertising Platforms|Developer APIs|SaaS,650000,operating,USA,NC,Raleigh,Durham,1,0
Adzilla,http://www.adzilla.com,Advertising,10250000,closed,USA,CA,SF Bay Area,Brisbane,1,1
Adzuna,http://www.adzuna.co.uk,Career Management|Classifieds|Employment|Search,5997205,operating,GBR,H9,London,London,5,1
AEGEA Medical,http://aegeamedical.com,Biotechnology,55367098,operating,USA,CA,SF Bay Area,Redwood City,3,1
Aegerion Pharmaceuticals,http://www.aegerion.com,Biotechnology|Health Care,19814760,ipo,USA,MA,Boston,Cambridge,2,1
Aegis Analytical Corp.,http://www.aegiscorp.com,Enterprises|Manufacturing|Software,1304000,acquired,USA,CO,Denver,Lafayette,1,0
Aegis Asset Backed Securities,http://www.aegis-funding.com,Finance,2500000,operating,USA,CA,Anaheim,Huntington Beach,1,0
Aegis Identity Software,http://www.aegisidentity.com,Colleges|Software,3428750,operating,USA,CO,Denver,Englewood,4,0
Aegis Lightwave,http://www.aegislightwave.com,Information Technology|Semiconductors,8000000,acquired,USA,MA,Boston,Woburn,1,1
Aegis Mobility,http://www.aegismobility.com,Mobile,12256689,operating,CAN,BC,Burnaby,Burnaby,9,1
Aeglea BioTherapeutics,http://aegleabio.com,Biotechnology|Health Care|Therapeutics,68000000,operating,USA,TX,Austin,Austin,3,1
Aehr Test Systems,http://www.aehr.com,Hardware + Software,7857000,ipo,USA,CA,SF Bay Area,Fremont,4,1
Aeluros,http://www.aeluros.com,Semiconductors,7970000,operating,USA,CA,SF Bay Area,Mountain View,1,1
AEOLUS PHARMACEUTICALS,http://www.aolsrx.com,Biotechnology,11755550,operating,USA,CA,"Orange County, California",Mission Viejo,6,1
AEP Networks,http://www.aepnetworks.com,Web Hosting,5000000,acquired,USA,NJ,Newark,Somerset,1,1
Aepona,http://www.aepona.com,Web Hosting,40000000,acquired,GBR,R3,Belfast,Belfast,3,1
Aequus Pharmaceuticals,http://aequuspharma.ca,Pharmaceuticals,4200000,operating,CAN,BC,Vancouver,Vancouver,1,1
Aereo,http://aereo.com/home,Digital Media|Television|Video Streaming,97000000,operating,USA,NY,New York City,New York,4,1
Aeria Games & Entertainment,http://www.aeriagames.com,Games|Networking,288000,operating,USA,CA,SF Bay Area,Santa Clara,2,0
Aerial BioPharma,http://aerialbio.com,Biotechnology,19500000,operating,USA,NC,Raleigh,Morrisville,3,1
Aerie Pharmaceuticals,http://www.aeriepharma.com,Biotechnology,253614965,ipo,USA,NJ,Newark,Bedminster,5,1
Aerify Media,http://www.aerifymedia.com,Mobile|Video,1000000,operating,USA,NY,New York City,New York,1,0
Aerin Medical,http://www.aerinmedical.com/,Biotechnology,7473123,operating,USA,CA,SF Bay Area,Santa Clara,4,1
Aeris Communications,http://www.aeris.com,Gps|Internet of Things|M2M|Smart Grid|Telecommunications,1000000,operating,USA,CA,SF Bay Area,Santa Clara,1,0
AeroDynEnergy,http://www.aerodynenergy.com,Clean Technology,599918,operating,USA,CA,Anaheim,Anaheim,1,0
AeroFarms,http://www.aerofarms.com,Clean Technology|Hospitality,500000,operating,USA,NY,New York City,New York,2,0
AeroFS,http://www.aerofs.com,Cloud Computing|Enterprise Software|Storage,15500000,operating,USA,CA,SF Bay Area,Palo Alto,4,1
AeroGrow International,http://aerogrow.com,Direct Sales|Home & Garden|Wholesale,13000341,operating,USA,CO,Denver,Boulder,2,1
Aerohive Networks,http://www.aerohive.com,Mobile|Technology,104952382,ipo,USA,CA,SF Bay Area,Sunnyvale,6,1
Aeromarine Consulting,http://www.aeromarine-lsa.com,Transportation,200000,operating,USA,FL,Tampa,Tampa,1,0
Aeromics,http://aeromics.com,Biotechnology,1349360,closed,USA,OH,Cleveland,Cleveland,1,0
Aeronavics,http://aeronavics.com/,Aerospace,1172067.292,operating,NZL,F4,NZL - Other,Raglan,1,0
Aeropost,http://aeropost.com,Curated Web,5000000,operating,USA,FL,Miami,Miami,1,1
Aeropostale,http://aeropostale.com,Consumers|E-Commerce,150000000,ipo,USA,NY,New York City,New York,1,1
AeroSat Corporation,http://www.aerosat.com,Web Hosting,45400000,operating,USA,NH,"Manchester, New Hampshire",Amherst,3,1
AeroScout,http://www.aeroscout.com,Mobile|RFID|Wireless,49000000,acquired,USA,CA,SF Bay Area,Redwood City,4,1
Aerospike,http://www.aerospike.com,Analytics|Auctions|Big Data|Databases|Real Time,22000000,operating,USA,CA,SF Bay Area,Mountain View,3,1
Aerovance,http://www.aerovance.com,Biotechnology,120500000,closed,USA,CA,CA - Other,Lucerne Valley,5,1
AerovectRx,http://www.aerovectrx.com/,Health Care|Medical|Therapeutics,1200000,closed,USA,GA,Atlanta,Atlanta,5,0
Aeroxo,http://www.aeroxo.com/,Aerospace,600000,operating,USA,NY,New York City,New York,2,0
Aerpio Therapeutics,http://www.aerpio.com,Biotechnology,63000000,operating,USA,OH,Cincinnati,Cincinnati,4,1
Aeryon Labs,http://www.aeryon.com,DOD/Military|Photography,60000000,operating,CAN,ON,Toronto,Waterloo,2,1
AesRx,http://www.aesrx.com,Biotechnology,3455150,operating,USA,MA,Boston,Newton,3,0
AET Holdings Corp,http://www.aetholdings.com/,Business Services|Enterprise Application|Enterprise Software|Information Technology|Innovation Management|Professional Services,6000000,operating,USA,DC,"Washington, D.C.",Washington,1,1
AET Hosting Solutions,http://www.aethosting.com,Education|Nonprofits|Small and Medium Businesses|Startups,3000000,operating,USA,DC,"Washington, D.C.",Washington,1,0
AeternusLED,http://aeternusled.com,Electrical Distribution|Lighting|UV LEDs,60000,operating,USA,VA,Roanoke,Blacksburg,1,0
AetherPal,http://www.aetherpal.com,Mobile,6000000,operating,USA,NJ,Newark,South Plainfield,1,1
Aethlon Medical,http://www.aethlonmedical.com,Health Care,17681234,ipo,USA,CA,San Diego,San Diego,12,1
Aethon,http://www.aethon.com,Health Care,35668990,operating,USA,PA,Pittsburgh,Pittsburgh,8,1
AFAR,http://www.afar.com,Social Media|Travel,16000000,operating,USA,CA,SF Bay Area,San Francisco,1,1
AFCV Holdings,http://afcv.com,Hardware + Software,8000000,operating,USA,TX,Houston,Missouri City,1,1
Affectiva,http://www.affectiva.com,Analytics,20224999,operating,USA,MA,Boston,Waltham,4,1
Afferent Pharmaceuticals,http://www.afferentpharma.com,Biotechnology,89200000,operating,USA,CA,SF Bay Area,San Mateo,7,1
Affinegy,http://www.affinegy.com,Internet|Networking|Software|Wireless,550000,operating,USA,TX,Austin,Austin,2,0
Affinergy,http://www.affinergy.com,Biotechnology,3000000,operating,USA,NC,Raleigh,Durham,1,0
Affinimark Technologies,http://www.affinimark.com,Biotechnology,1359394,operating,USA,CT,Hartford,New Haven,1,0
Affinio,https://affin.io/,Advertising|Consumer Behavior|Content Discovery|Social Media Marketing,5550000,operating,CAN,NS,Halifax,Halifax,3,1
Affinion Group,http://www.affinion.com,Advertising|Design|Product Development Services,1500000,operating,USA,CT,Hartford,Stamford,1,0
Affinity,http://www.affinity.com,Ad Targeting|Advertising|Digital Media|Mobile Advertising,85000000,acquired,USA,IL,IL - Other,Illinois City,2,1
Affinity.is,http://affinity.is,Advertising|Apps,2900000,operating,USA,WA,Seattle,Kirkland,3,0
AFINITY,http://afty.co,Mobile|Mobile Advertising|Private Social Networking|Social Media,1200000,operating,USA,CA,Los Angeles,Venice,3,0
Affinity Solutions,http://affinitysolutions.com,Finance,35500000,operating,USA,NY,New York City,New York,3,1
Affinity Systems,http://affsys.com,Software,151525,closed,CAN,ON,Toronto,Toronto,1,0
Affinity Therapeutics,http://affinitytherapeutics.com,Biotechnology,400000,operating,USA,OH,Cleveland,Cleveland,1,0
Affinity Circles,http://www.affinitycircles.com,Alumni|Career Management|Social Recruiting|Software,5540000,operating,USA,CA,SF Bay Area,Sunnyvale,3,1
AffinityClick,http://hushed.com,Mobile|Software,1474718,operating,CAN,QC,Gatineau,Gatineau,3,0
AffinityLive,http://www.affinitylive.com,Enterprise Software|SaaS,2000000,operating,USA,CA,SF Bay Area,San Francisco,1,0
Affinium Pharmaceuticals,http://www.afnm.com,Biotechnology|Health Care|Pharmaceuticals,81800000,acquired,USA,TX,Austin,Austin,5,1
Affirm,http://affirm.com,Finance Technology|Financial Services|FinTech|Payments,320000000,operating,USA,CA,SF Bay Area,San Francisco,2,1
Affirmed Networks,http://www.affirmednetworks.com,Mobile,116990000,operating,USA,MA,Boston,Acton,5,1
Affluent Attaché Club,http://www.affluentattache.com/,Hospitality,100000,operating,USA,CA,Los Angeles,Beverly Hills,1,0
Affomix Corporation,http://www.affomix.com,Biotechnology,7000000,operating,USA,CT,Hartford,Branford,1,1
Affordit.com,http://www.affordit.com,E-Commerce,600000,operating,USA,OH,"Columbus, Ohio",Powell,1,0
Affresol,http://affresol.com,Real Estate,215539,operating,GBR,Z1,Swansea,Swansea,1,0
Affymax,http://www.affymax.com,Biotechnology,112999999,closed,USA,CA,SF Bay Area,Palo Alto,3,1
Afinity Life Sciences,http://www.afinity.ca,Biotechnology,1500000,operating,CAN,AB,Edmonton,Edmonton,1,0
AFINOS,http://www.afinos.com,Mobile,1500000,operating,USA,NY,New York City,New York,1,0
Afoundria,http://afoundria.com/#!,Software,325999,operating,USA,TX,Austin,Austin,1,0
Aframe,http://aframe.com,Cloud Data Services|Enterprise Software|SaaS|Video|Web Development,9850000,operating,USA,MA,Boston,Burlington,3,1
Afraxis,http://www.afraxis.com,Ediscovery|Health Care|Medical,1500000,operating,USA,CA,San Diego,La Jolla,2,0
Africa Bookings,http://www.africabookings.com/,Travel,25000,operating,USA,NH,NH - Other,Alton,1,0
Africa Oil Corp,http://www.africaoilcorp.com,Oil & Gas,100000000,operating,CAN,BC,Vancouver,Vancouver,1,1
Afrimarket,http://afrimarket.fr,Education|Health and Wellness|P2P Money Transfer,3494416,operating,FRA,A8,Paris,Paris,2,1
AFS Technologies,http://www.afsi.com,Enterprise Software,10200000,operating,USA,AZ,Phoenix,Phoenix,3,1
After Care Apps,http://www.aftercareapps.com,Health Care Information Technology|Mobile|SaaS,200000,operating,USA,TX,San Antonio,San Antonio,1,0
AFTER-MOUSE,http://www.after-mouse.com,Software,100000,operating,USA,NY,New York City,New York,1,0
afterBOT,http://www.afterbot.com,Software,5235343,operating,USA,GA,Atlanta,Norcross,4,1
Aftercad Software,http://www.aftercad.com,3D|Architecture|CAD|Construction|Manufacturing|Real Estate|SaaS|Software|Web Development,1107000,operating,CAN,BC,Vancouver,Vancouver,1,0
AfterNic,https://www.afternic.com/,Domains|Marketplaces|Web Tools,5000000,acquired,USA,MA,Boston,Waltham,1,1
AfterYes,http://www.afteryes.co,Curated Web|Marketplaces|Weddings,20000,operating,USA,NY,NY - Other,Queens,1,0
Motiva,http://www.againtech.com,Business Development|Enterprise Software|Technology,21500000,operating,USA,CA,SF Bay Area,San Mateo,2,1
AgaMatrix Inc.,http://agamatrix.com,Health and Wellness|Health Care|Medical Devices,23660000,operating,USA,NH,"Manchester, New Hampshire",Salem,1,1
Agami System,http://www.agami.com/,Enterprises|Internet|Storage,50000000,operating,USA,CA,SF Bay Area,Sunnyvale,1,1
Agari,http://www.agari.com,SaaS|Security,22700000,operating,USA,CA,SF Bay Area,San Mateo,4,1
Agave Underground,http://www.agaveunderground.com/,Brewing,150000,operating,USA,CA,Anaheim,Irvine,1,0
CHiWAO Mobile App,http://www.chiwao.com,Collaboration|File Sharing|Mobile|Software,2100000,operating,USA,NJ,Newark,Woodcliff Lake,1,0
AgBiome,http://agbiome.com,Biotechnology,52000000,operating,USA,NC,Raleigh,Raleigh,2,1
AGC,http://www.agoodcompany.net/,Internet|Internet Service Providers|Project Management,1000000,operating,USA,CA,SF Bay Area,San Francisco,1,0
PrivacyCheq / AgeCheq,http://www.privacycheq.com,Mobile|Privacy|Software Compliance,2000000,operating,USA,PA,Harrisburg,York Haven,2,0
Agency Entourage,http://www.agencyentourage.com,Public Relations|Social Media Marketing,10000,operating,USA,TX,Dallas,Dallas,1,0
Agency for Student Health Research,http://www.injurefree.com/#!about/curv,Analytics|Big Data|Databases|EdTech|Education|Health Care Information Technology|Mobile Health|Risk Management|Software,425000,operating,USA,CA,San Diego,San Diego,2,0
Agency Spotter,http://www.agencyspotter.com,Analytics|Creative|Design|Internet|Networking|Services|Startups,35000,operating,USA,GA,Atlanta,Atlanta,2,0
Agency Systems,http://www.agencysystems.com,Software,1890000,operating,USA,CA,Los Angeles,Pasadena,1,0
Agencyport Software,http://www.agencyport.com,Software,1171300,acquired,USA,MA,Boston,Boston,1,0
agencyQ,http://www.agencyq.com,Advertising,1600000,operating,USA,DC,"Washington, D.C.",Washington,1,0
Agendize,http://www.agendize.com,Advertising|App Marketing|Chat|Telecommunications|Telephony,3109450,operating,CAN,QC,Montreal,Montréal,2,0
AgeneBio,http://agenebio.com,Biotechnology,11001850,operating,USA,IN,Indianapolis,Carmel,8,1
Agensys,http://www.agensys.com,Biotechnology,84100000,operating,USA,CA,Los Angeles,Santa Monica,2,1
AgentBridge,https://www.agentbridge.com/,Real Estate,250000,operating,USA,CA,Los Angeles,Rolling Hills Estates,1,0
Agentdesks,http://www.agentdesks.com/,CRM|Mobile|Real Estate|Virtual Workforces,3054000,operating,USA,CA,SF Bay Area,San Francisco,2,0
Agentek,http://www.agentek.com,Mobile,9000000,operating,USA,GA,Atlanta,Alpharetta,2,1
AgentPair,http://www.agentpair.com,Real Estate|Startups,140000,operating,USA,CA,Anaheim,Costa Mesa,4,0
AgentRave,http://www.agentrave.com,Reviews and Recommendations,45000,closed,USA,GA,Atlanta,Lilburn,1,0
Agenus,http://agenusbio.com,Biotechnology,171140000,ipo,USA,MA,Boston,Lexington,5,1
AGERpoint,http://www.agerpoint.com/,Information Services,1191698,operating,USA,FL,Orlando,Orlando,2,0
Aggredyne,http://www.aggredyne.com,Biotechnology,3000000,operating,USA,TX,Houston,Houston,1,0
Aggregage,http://aggregage.com,B2B|Email Newsletters|Internet|Social Media,1000000,operating,USA,CA,Los Angeles,El Segundo,1,0
Aggregate Knowledge,http://www.aggregateknowledge.com,Advertising,74311925,acquired,USA,CA,SF Bay Area,San Mateo,8,1
Agiftidea.com,http://www.agiftidea.com,Gift Card|Social Media,50000,closed,USA,MD,Baltimore,Columbia,1,0
AGILE customer insight,http://www.agile.ci,Analytics|Banking|Big Data|Retail|SaaS|Sales and Marketing|Software,640000,closed,GBR,H9,London,London,1,0
Agile Energy,http://www.agileenergy.com,Clean Technology,26040000,operating,USA,CA,SF Bay Area,San Bruno,2,1
Agile Health,http://www.agilehealth.com,Health and Wellness,2000000,operating,USA,TN,Nashville,Nashville,1,0
Agile Networks,http://agilenetworks.com/,Telecommunications|Wireless,1693138,operating,USA,OH,Akron - Canton,Canton,2,0
Agile Sciences,http://agilesci.com,Biotechnology,2808642,operating,USA,NC,Raleigh,Raleigh,2,0
Agile Systems,http://www.agile-systems.com,Hardware + Software,7000000,operating,CAN,ON,Toronto,Waterloo,1,1
Agile Therapeutics,http://www.agiletherapeutics.com,Biotechnology,111005000,ipo,USA,NJ,Newark,Princeton,7,1
AgileCraft,http://agilecraft.com,Information Technology|Software,10100000,operating,USA,TX,Austin,Georgetown,1,1
AgileJ Limited,http://www.agilej.com,Software,100000,operating,GBR,G7,Surbiton,Surbiton,1,0
AgileMD,http://www.agilemd.com,Health Care,2000000,operating,USA,CA,SF Bay Area,San Francisco,2,0
AgileMesh,http://www.agilemesh.com,Security,2000000,operating,USA,TX,Dallas,Richardson,1,0
AgileNano,http://www.agilenano.com,Biotechnology,272500,operating,USA,CA,San Diego,San Diego,1,0
Agilence,http://www.agilenceinc.com,Enterprise Software|Retail Technology|Security,18527468,operating,USA,NJ,NJ - Other,Mount Laurel,7,1
AgileSwitch,http://www.agileswitch.com/,Energy|Energy Efficiency|Energy Management,800000,operating,USA,PA,Philadelphia,Philadelphia,3,0
AgileZen,http://agilezen.com,Enterprise Software|Health and Wellness|Internet|Project Management|Software,25000,acquired,USA,CO,Denver,Boulder,1,0
Agiliance,http://www.agiliance.com,Security,30455361,operating,USA,CA,SF Bay Area,Sunnyvale,6,1
Agilis Biotherapeutics,http://www.agilisbio.com,Biotechnology,8000000,operating,USA,NY,New York City,New York,1,1
Agilis Systems,http://www.agilissystems.com,Gps|Software,5000000,operating,USA,MO,St. Louis,St Louis,1,1
Agilisys,http://agilesys.com/,Innovation Engineering|Services,5591768.916,operating,USA,AZ,Phoenix,Scottsdale,1,1
Agility Communications,http://www.jdsu.com/,Lasers|Manufacturing|Optical Communications,168000000,acquired,USA,CA,Santa Barbara,Santa Barbara,4,1
Agility Healthcare Solution,http://www.agilityhealthcare.com,Health and Wellness,5250000,operating,USA,VA,Richmond,Glen Allen,1,1
"Agillion, Inc.",http://www.agillion.com,SaaS|Services,40000000,closed,USA,TX,Austin,Austin,1,1
AgilOne,http://www.agilone.com,Analytics|Big Data|Business Intelligence|SaaS|Sales and Marketing,41000016,operating,USA,CA,SF Bay Area,Mountain View,3,1
Agilum Healthcare Intelligence,http://agilum.com,Software,9028626,operating,USA,TN,Nashville,Franklin,7,1
Agilvax,http://agilvax.com/,Biotechnology|Health Care|Medical,3150000,operating,USA,NM,Albuquerque,Albuquerque,2,0
Agily Networks,http://www.agily.com,Cloud Computing|Flash Storage|Networking|Peer-to-Peer|Storage|Synchronization|Trusted Networks|Web Hosting,250000,operating,USA,CA,SF Bay Area,San Jose,1,0
Agilyx,http://www.agilyx.com,Clean Technology,60250000,operating,USA,OR,"Portland, Oregon",Beaverton,4,1
AgInfoLink,http://www.aginfolink.com,Software,12265000,closed,USA,CO,Denver,Longmont,3,1
Aginity,http://aginity.com,Analytics|CRM|Marketing Automation,1775000,operating,USA,IL,Chicago,Evanston,2,0
Aginova,http://www.aginova.com,Hardware + Software|iPad|iPhone|iPod Touch|Wireless,500000,operating,USA,OH,Dayton,Middletown,1,0
Agio Technologies,http://www.agioapp.com,Financial Services,427119,operating,GBR,H9,London,London,2,0
Agios Pharmaceuticals,http://www.agiospharmaceuticals.com,Biotechnology|Health Care,119823937,ipo,USA,MA,Boston,Cambridge,4,1
Agistics,http://www.agistics.com,Enterprise Software,2000000,acquired,USA,CA,SF Bay Area,Pleasanton,1,0
Agistix,http://www.agistix.com,Software,2000000,operating,USA,CA,SF Bay Area,Redwood City,1,0
Agitar,http://www.agitar.com,Enterprise Software,22600000,operating,USA,RI,Providence,Cranston,2,1
